ShipmentID,OrderID,OriginPort,DestinationPort,Carrier,Mode,DepartureDate,ArrivalDate,StandardTransitDays,ActualTransitDays,Status
S01148,O01148,Hamburg,Antwerp,COSCO,Sea,2024-01-28,2024-02-02,5,5,Delivered
S01149,O01149,Hamburg,Vancouver,COSCO,Sea,2024-06-14,2024-07-09,22,25,Delayed
S01150,O01150,Tokyo,Sydney,DHL Aviation,Air,2024-01-06,2024-01-12,2,6,Delayed
S01151,O01151,Singapore,Felixstowe,CMA CGM,Sea,2024-01-11,2024-02-19,34,39,Delayed
S01152,O01152,Nhava Sheva,Houston,CMA CGM,Sea,2024-05-18,2024-06-22,30,35,Delayed
S01153,O01153,Singapore,Felixstowe,COSCO,Sea,2024-03-30,2024-05-06,34,37,Delayed
S01154,O01154,Hamburg,Tokyo,COSCO,Sea,2024-05-21,2024-06-18,28,28,Delivered
S01155,O01155,Singapore,Felixstowe,Hapag-Lloyd,Sea,2024-03-16,2024-04-21,34,36,Delayed
S01156,O01156,Busan,Sydney,Maersk,Sea,2024-07-17,2024-08-08,16,22,Delayed
S01157,O01157,Singapore,Felixstowe,Maersk,Sea,2024-06-07,2024-07-14,34,37,Delayed
S01158,O01158,Singapore,Los Angeles,CMA CGM,Sea,2024-07-03,2024-07-22,20,19,Delivered
S01159,O01159,Nhava Sheva,Houston,Hapag-Lloyd,Sea,2024-02-18,2024-03-25,30,36,Delayed
S01160,O01160,Nhava Sheva,Houston,MSC,Sea,2024-06-05,2024-07-07,30,32,Delayed
S01161,O01161,Singapore,Antwerp,CMA CGM,Sea,2024-01-29,2024-02-29,32,31,Delivered
S01162,O01162,Shanghai,New York,Maersk,Sea,2024-02-03,2024-03-04,30,30,Delivered
S01163,O01163,Singapore,London,DHL Aviation,Air,2024-05-04,2024-05-07,2,3,Delayed
S01164,O01164,Shanghai,Sydney,Evergreen,Sea,2024-04-09,2024-05-04,20,25,Delayed
S01165,O01165,Hamburg,Antwerp,COSCO,Sea,2024-03-06,2024-03-09,5,3,Delivered
S01166,O01166,Shanghai,Sydney,Evergreen,Sea,2024-01-19,2024-02-06,20,18,Delivered
S01167,O01167,Singapore,London,FedEx Logistics,Air,2024-01-21,2024-01-28,2,7,Delayed
S01168,O01168,Shanghai,Los Angeles,FedEx Logistics,Air,2024-05-22,2024-05-29,3,7,Delayed
S01169,O01169,Hong Kong,Los Angeles,DHL Aviation,Air,2024-06-06,2024-06-10,2,4,Delayed
S01170,O01170,Hamburg,Antwerp,Maersk,Sea,2024-03-18,2024-03-22,5,4,Delivered
S01171,O01171,Dubai,London,DHL Aviation,Air,2024-01-26,2024-01-29,2,3,Delayed
S01172,O01172,Singapore,Los Angeles,MSC,Sea,2024-05-14,2024-06-04,20,21,Delayed
S01173,O01173,Singapore,Felixstowe,COSCO,Sea,2024-07-10,2024-08-19,34,40,Delayed
S01174,O01174,Shanghai,New York,Evergreen,Sea,2024-05-27,2024-06-29,30,33,Delayed
S01175,O01175,Hamburg,Antwerp,Evergreen,Sea,2024-04-19,2024-04-23,5,4,Delivered
S01176,O01176,Singapore,Felixstowe,COSCO,Sea,2024-04-12,2024-05-22,34,40,Delayed
S01177,O01177,Singapore,Felixstowe,COSCO,Sea,2024-06-02,2024-07-11,34,39,Delayed
S01178,O01178,Frankfurt,New York,FedEx Logistics,Air,2024-04-05,2024-04-11,2,6,Delayed
S01179,O01179,Busan,New York,Evergreen,Sea,2024-03-23,2024-04-25,32,33,Delayed
S01180,O01180,Singapore,Los Angeles,Hapag-Lloyd,Sea,2024-07-15,2024-08-10,20,26,Delayed
S01181,O01181,Frankfurt,New York,FedEx Logistics,Air,2024-04-25,2024-05-02,2,7,Delayed
S01182,O01182,Shanghai,Los Angeles,DHL Aviation,Air,2024-03-13,2024-03-14,3,1,Delivered
S01183,O01183,Hamburg,Tokyo,Maersk,Sea,2024-03-17,2024-04-15,28,29,Delayed
S01184,O01184,Hamburg,Vancouver,Maersk,Sea,2024-07-16,2024-08-09,22,24,Delayed
S01185,O01185,Dubai,London,DHL Aviation,Air,2024-01-25,2024-01-26,2,1,Delivered
S01186,O01186,Singapore,Felixstowe,MSC,Sea,2024-03-08,2024-04-14,34,37,Delayed
S01187,O01187,Singapore,London,DHL Aviation,Air,2024-03-06,2024-03-10,2,4,Delayed
S01188,O01188,Busan,New York,COSCO,Sea,2024-02-25,2024-03-27,32,31,Delivered
S01189,O01189,Busan,Sydney,MSC,Sea,2024-05-04,2024-05-19,16,15,Delivered
S01190,O01190,Hamburg,Tokyo,Maersk,Sea,2024-07-06,2024-08-07,28,32,Delayed
S01191,O01191,Shanghai,Los Angeles,CMA CGM,Sea,2024-03-30,2024-04-21,18,22,Delayed
S01192,O01192,Shanghai,New York,MSC,Sea,2024-07-10,2024-08-07,30,28,Delivered
S01193,O01193,Singapore,Antwerp,Hapag-Lloyd,Sea,2024-01-14,2024-02-17,32,34,Delayed
S01194,O01194,Hamburg,Vancouver,COSCO,Sea,2024-05-24,2024-06-15,22,22,Delivered
S01195,O01195,Hamburg,Antwerp,MSC,Sea,2024-02-09,2024-02-12,5,3,Delivered
S01196,O01196,Busan,New York,Hapag-Lloyd,Sea,2024-07-11,2024-08-18,32,38,Delayed
S01197,O01197,Busan,New York,CMA CGM,Sea,2024-04-10,2024-05-12,32,32,Delivered
S01198,O01198,Shanghai,New York,Hapag-Lloyd,Sea,2024-05-26,2024-06-23,30,28,Delivered
S01199,O01199,Hamburg,Tokyo,Maersk,Sea,2024-04-12,2024-05-16,28,34,Delayed
S01200,O01200,Hamburg,Antwerp,MSC,Sea,2024-07-14,2024-07-19,5,5,Delivered
S01201,O01201,Singapore,Los Angeles,Hapag-Lloyd,Sea,2024-04-11,2024-05-02,20,21,Delayed
S01202,O01202,Hamburg,Antwerp,COSCO,Sea,2024-03-04,2024-03-10,5,6,Delayed
S01203,O01203,Busan,New York,CMA CGM,Sea,2024-06-24,2024-07-25,32,31,Delivered
S01204,O01204,Busan,New York,Hapag-Lloyd,Sea,2024-04-03,2024-05-08,32,35,Delayed
S01205,O01205,Hamburg,Vancouver,COSCO,Sea,2024-06-16,2024-07-06,22,20,Delivered
S01206,O01206,Singapore,Felixstowe,CMA CGM,Sea,2024-06-06,2024-07-15,34,39,Delayed
S01207,O01207,Busan,Sydney,Maersk,Sea,2024-02-29,2024-03-17,16,17,Delayed
S01208,O01208,Singapore,Felixstowe,Evergreen,Sea,2024-01-22,2024-02-24,34,33,Delivered
S01209,O01209,Singapore,Los Angeles,COSCO,Sea,2024-02-07,2024-02-29,20,22,Delayed
S01210,O01210,Hamburg,Antwerp,Maersk,Sea,2024-03-19,2024-03-29,5,10,Delayed
S01211,O01211,Hamburg,Vancouver,MSC,Sea,2024-07-08,2024-08-05,22,28,Delayed
S01212,O01212,Nhava Sheva,Houston,COSCO,Sea,2024-07-11,2024-08-12,30,32,Delayed
S01213,O01213,Shanghai,Sydney,Evergreen,Sea,2024-02-06,2024-02-24,20,18,Delivered
S01214,O01214,Singapore,Antwerp,COSCO,Sea,2024-01-12,2024-02-15,32,34,Delayed
S01215,O01215,Hamburg,Tokyo,MSC,Sea,2024-06-27,2024-07-27,28,30,Delayed
S01216,O01216,Singapore,Antwerp,Maersk,Sea,2024-01-18,2024-02-23,32,36,Delayed
S01217,O01217,Singapore,Antwerp,Evergreen,Sea,2024-04-02,2024-05-03,32,31,Delivered
S01218,O01218,Singapore,Antwerp,Hapag-Lloyd,Sea,2024-02-29,2024-04-05,32,36,Delayed
S01219,O01219,Hamburg,Antwerp,Maersk,Sea,2024-03-21,2024-03-31,5,10,Delayed
S01220,O01220,Dubai,London,DHL Aviation,Air,2024-02-17,2024-02-20,2,3,Delayed
S01221,O01221,Busan,Sydney,COSCO,Sea,2024-07-01,2024-07-15,16,14,Delivered
S01222,O01222,Nhava Sheva,Houston,CMA CGM,Sea,2024-03-26,2024-04-30,30,35,Delayed
S01223,O01223,Singapore,Felixstowe,Maersk,Sea,2024-03-29,2024-05-05,34,37,Delayed
S01224,O01224,Hamburg,Tokyo,MSC,Sea,2024-05-08,2024-06-07,28,30,Delayed
S01225,O01225,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-04-09,2024-04-10,2,1,Delivered
S01226,O01226,Frankfurt,New York,DHL Aviation,Air,2024-02-08,2024-02-13,2,5,Delayed
S01227,O01227,Hong Kong,Los Angeles,DHL Aviation,Air,2024-01-23,2024-01-29,2,6,Delayed
S01228,O01228,Singapore,Antwerp,COSCO,Sea,2024-06-09,2024-07-12,32,33,Delayed
S01229,O01229,Shanghai,Sydney,MSC,Sea,2024-04-19,2024-05-11,20,22,Delayed
S01230,O01230,Frankfurt,New York,FedEx Logistics,Air,2024-05-18,2024-05-20,2,2,Delivered
S01231,O01231,Singapore,Felixstowe,COSCO,Sea,2024-05-18,2024-06-22,34,35,Delayed
S01232,O01232,Frankfurt,New York,DHL Aviation,Air,2024-04-20,2024-04-22,2,2,Delivered
S01233,O01233,Shanghai,Sydney,MSC,Sea,2024-03-22,2024-04-10,20,19,Delivered
S01234,O01234,Hamburg,Antwerp,Maersk,Sea,2024-02-17,2024-02-25,5,8,Delayed
S01235,O01235,Singapore,London,DHL Aviation,Air,2024-07-14,2024-07-19,2,5,Delayed
S01236,O01236,Tokyo,Sydney,FedEx Logistics,Air,2024-03-18,2024-03-25,2,7,Delayed
S01237,O01237,Singapore,Antwerp,Evergreen,Sea,2024-03-11,2024-04-12,32,32,Delivered
S01238,O01238,Shanghai,New York,MSC,Sea,2024-02-17,2024-03-16,30,28,Delivered
S01239,O01239,Shanghai,Sydney,COSCO,Sea,2024-03-09,2024-03-30,20,21,Delayed
S01240,O01240,Singapore,Los Angeles,Evergreen,Sea,2024-01-07,2024-01-30,20,23,Delayed
S01241,O01241,Busan,Sydney,MSC,Sea,2024-05-08,2024-05-29,16,21,Delayed
S01242,O01242,Hamburg,Vancouver,MSC,Sea,2024-04-09,2024-05-06,22,27,Delayed
S01243,O01243,Singapore,Felixstowe,MSC,Sea,2024-02-27,2024-03-30,34,32,Delivered
S01244,O01244,Shanghai,Los Angeles,CMA CGM,Sea,2024-04-15,2024-05-04,18,19,Delayed
S01245,O01245,Singapore,Los Angeles,MSC,Sea,2024-01-17,2024-02-06,20,20,Delivered
S01246,O01246,Tokyo,Sydney,FedEx Logistics,Air,2024-06-25,2024-06-30,2,5,Delayed
S01247,O01247,Singapore,London,FedEx Logistics,Air,2024-04-13,2024-04-14,2,1,Delivered
S01248,O01248,Busan,New York,Evergreen,Sea,2024-03-21,2024-04-26,32,36,Delayed
S01249,O01249,Hamburg,Antwerp,COSCO,Sea,2024-06-01,2024-06-12,5,11,Delayed
S01250,O01250,Hamburg,Antwerp,Maersk,Sea,2024-05-13,2024-05-17,5,4,Delivered
S01251,O01251,Shanghai,Los Angeles,MSC,Sea,2024-05-12,2024-06-05,18,24,Delayed
S01252,O01252,Hamburg,Antwerp,Maersk,Sea,2024-05-22,2024-05-31,5,9,Delayed
S01253,O01253,Singapore,Antwerp,Maersk,Sea,2024-02-18,2024-03-23,32,34,Delayed
S01254,O01254,Hamburg,Tokyo,CMA CGM,Sea,2024-04-28,2024-05-26,28,28,Delivered
S01255,O01255,Shanghai,Sydney,Maersk,Sea,2024-06-25,2024-07-21,20,26,Delayed
S01256,O01256,Tokyo,Sydney,FedEx Logistics,Air,2024-01-24,2024-02-01,2,8,Delayed
S01257,O01257,Shanghai,Sydney,Evergreen,Sea,2024-05-19,2024-06-08,20,20,Delivered
S01258,O01258,Hamburg,Vancouver,Hapag-Lloyd,Sea,2024-01-07,2024-01-29,22,22,Delivered
S01259,O01259,Hamburg,Antwerp,MSC,Sea,2024-04-26,2024-04-30,5,4,Delivered
S01260,O01260,Hamburg,Antwerp,Evergreen,Sea,2024-07-01,2024-07-06,5,5,Delivered
S01261,O01261,Shanghai,New York,Maersk,Sea,2024-01-30,2024-03-05,30,35,Delayed
S01262,O01262,Shanghai,New York,COSCO,Sea,2024-06-30,2024-08-03,30,34,Delayed
S01263,O01263,Nhava Sheva,Houston,COSCO,Sea,2024-02-10,2024-03-15,30,34,Delayed
S01264,O01264,Shanghai,Los Angeles,MSC,Sea,2024-03-26,2024-04-13,18,18,Delivered
S01265,O01265,Singapore,Felixstowe,MSC,Sea,2024-07-15,2024-08-16,34,32,Delivered
S01266,O01266,Hamburg,Tokyo,Evergreen,Sea,2024-07-15,2024-08-17,28,33,Delayed
S01267,O01267,Singapore,Felixstowe,Maersk,Sea,2024-02-03,2024-03-09,34,35,Delayed
S01268,O01268,Hamburg,Tokyo,Maersk,Sea,2024-04-27,2024-05-30,28,33,Delayed
S01269,O01269,Dubai,London,DHL Aviation,Air,2024-06-04,2024-06-11,2,7,Delayed
S01270,O01270,Shanghai,Sydney,Evergreen,Sea,2024-05-01,2024-05-26,20,25,Delayed
S01271,O01271,Shanghai,New York,COSCO,Sea,2024-06-02,2024-06-30,30,28,Delivered
S01272,O01272,Nhava Sheva,Houston,CMA CGM,Sea,2024-06-07,2024-07-13,30,36,Delayed
S01273,O01273,Singapore,London,DHL Aviation,Air,2024-02-17,2024-02-19,2,2,Delivered
S01274,O01274,Hamburg,Vancouver,Maersk,Sea,2024-02-07,2024-02-27,22,20,Delivered
S01275,O01275,Shanghai,Sydney,CMA CGM,Sea,2024-03-25,2024-04-13,20,19,Delivered
S01276,O01276,Busan,New York,MSC,Sea,2024-02-11,2024-03-16,32,34,Delayed
S01277,O01277,Hamburg,Antwerp,Evergreen,Sea,2024-06-01,2024-06-12,5,11,Delayed
S01278,O01278,Busan,Sydney,Evergreen,Sea,2024-05-28,2024-06-16,16,19,Delayed
S01279,O01279,Shanghai,Los Angeles,FedEx Logistics,Air,2024-03-23,2024-03-29,3,6,Delayed
S01280,O01280,Shanghai,Los Angeles,FedEx Logistics,Air,2024-05-20,2024-05-22,3,2,Delivered
S01281,O01281,Singapore,Felixstowe,Maersk,Sea,2024-06-26,2024-08-01,34,36,Delayed
S01282,O01282,Busan,New York,COSCO,Sea,2024-02-23,2024-03-27,32,33,Delayed
S01283,O01283,Shanghai,New York,COSCO,Sea,2024-07-05,2024-08-10,30,36,Delayed
S01284,O01284,Tokyo,Sydney,FedEx Logistics,Air,2024-04-19,2024-04-24,2,5,Delayed
S01285,O01285,Shanghai,Sydney,COSCO,Sea,2024-03-31,2024-04-20,20,20,Delivered
S01286,O01286,Busan,Sydney,COSCO,Sea,2024-07-05,2024-07-26,16,21,Delayed
S01287,O01287,Singapore,Felixstowe,COSCO,Sea,2024-02-29,2024-04-05,34,36,Delayed
S01288,O01288,Shanghai,Los Angeles,DHL Aviation,Air,2024-01-07,2024-01-15,3,8,Delayed
S01289,O01289,Shanghai,New York,Evergreen,Sea,2024-02-23,2024-03-28,30,34,Delayed
S01290,O01290,Hamburg,Vancouver,CMA CGM,Sea,2024-05-23,2024-06-15,22,23,Delayed
S01291,O01291,Singapore,Los Angeles,Evergreen,Sea,2024-03-13,2024-04-04,20,22,Delayed
S01292,O01292,Hamburg,Tokyo,CMA CGM,Sea,2024-05-09,2024-06-12,28,34,Delayed
S01293,O01293,Shanghai,Los Angeles,Maersk,Sea,2024-06-24,2024-07-15,18,21,Delayed
S01294,O01294,Hamburg,Antwerp,COSCO,Sea,2024-06-06,2024-06-09,5,3,Delivered
S01295,O01295,Singapore,London,FedEx Logistics,Air,2024-03-27,2024-04-03,2,7,Delayed
S01296,O01296,Shanghai,Los Angeles,DHL Aviation,Air,2024-05-03,2024-05-06,3,3,Delivered
S01297,O01297,Nhava Sheva,Houston,CMA CGM,Sea,2024-04-28,2024-06-01,30,34,Delayed
S01298,O01298,Shanghai,Los Angeles,FedEx Logistics,Air,2024-05-24,2024-05-30,3,6,Delayed
S01299,O01299,Shanghai,Los Angeles,MSC,Sea,2024-05-27,2024-06-17,18,21,Delayed
S01300,O01300,Hamburg,Vancouver,Maersk,Sea,2024-02-08,2024-03-03,22,24,Delayed
S01301,O01301,Frankfurt,New York,FedEx Logistics,Air,2024-06-09,2024-06-17,2,8,Delayed
S01302,O01302,Dubai,London,FedEx Logistics,Air,2024-02-17,2024-02-18,2,1,Delivered
S01303,O01303,Frankfurt,New York,FedEx Logistics,Air,2024-06-30,2024-07-01,2,1,Delivered
S01304,O01304,Shanghai,New York,Hapag-Lloyd,Sea,2024-03-01,2024-04-03,30,33,Delayed
S01305,O01305,Hamburg,Tokyo,MSC,Sea,2024-05-14,2024-06-13,28,30,Delayed
S01306,O01306,Hamburg,Vancouver,Maersk,Sea,2024-07-18,2024-08-10,22,23,Delayed
S01307,O01307,Tokyo,Sydney,DHL Aviation,Air,2024-05-03,2024-05-11,2,8,Delayed
S01308,O01308,Hamburg,Vancouver,Hapag-Lloyd,Sea,2024-07-06,2024-08-03,22,28,Delayed
S01309,O01309,Hamburg,Vancouver,MSC,Sea,2024-07-15,2024-08-05,22,21,Delivered
S01310,O01310,Dubai,London,DHL Aviation,Air,2024-02-22,2024-02-23,2,1,Delivered
S01311,O01311,Hamburg,Antwerp,COSCO,Sea,2024-01-30,2024-02-02,5,3,Delivered
S01312,O01312,Shanghai,Los Angeles,Evergreen,Sea,2024-06-01,2024-06-18,18,17,Delivered
S01313,O01313,Shanghai,Los Angeles,Maersk,Sea,2024-05-13,2024-06-02,18,20,Delayed
S01314,O01314,Hamburg,Tokyo,Evergreen,Sea,2024-02-23,2024-03-25,28,31,Delayed
S01315,O01315,Hamburg,Tokyo,CMA CGM,Sea,2024-05-16,2024-06-16,28,31,Delayed
S01316,O01316,Singapore,Antwerp,Maersk,Sea,2024-03-10,2024-04-11,32,32,Delivered
S01317,O01317,Shanghai,New York,Maersk,Sea,2024-06-08,2024-07-14,30,36,Delayed
S01318,O01318,Singapore,Los Angeles,COSCO,Sea,2024-03-30,2024-04-25,20,26,Delayed
S01319,O01319,Singapore,Felixstowe,Evergreen,Sea,2024-03-13,2024-04-17,34,35,Delayed
S01320,O01320,Hamburg,Tokyo,COSCO,Sea,2024-03-27,2024-04-30,28,34,Delayed
S01321,O01321,Singapore,Felixstowe,Maersk,Sea,2024-04-30,2024-06-01,34,32,Delivered
S01322,O01322,Shanghai,Los Angeles,Maersk,Sea,2024-04-19,2024-05-11,18,22,Delayed
S01323,O01323,Shanghai,Sydney,COSCO,Sea,2024-06-10,2024-07-05,20,25,Delayed
S01324,O01324,Hamburg,Tokyo,CMA CGM,Sea,2024-02-20,2024-03-25,28,34,Delayed
S01325,O01325,Busan,Sydney,COSCO,Sea,2024-02-03,2024-02-18,16,15,Delivered
S01326,O01326,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-01-25,2024-02-01,2,7,Delayed
S01327,O01327,Singapore,Antwerp,Evergreen,Sea,2024-07-15,2024-08-21,32,37,Delayed
S01328,O01328,Singapore,Los Angeles,MSC,Sea,2024-06-06,2024-06-28,20,22,Delayed
S01329,O01329,Tokyo,Sydney,DHL Aviation,Air,2024-06-28,2024-07-03,2,5,Delayed
S01330,O01330,Hamburg,Vancouver,Hapag-Lloyd,Sea,2024-05-04,2024-05-24,22,20,Delivered
S01331,O01331,Shanghai,New York,CMA CGM,Sea,2024-05-02,2024-06-06,30,35,Delayed
S01332,O01332,Frankfurt,New York,FedEx Logistics,Air,2024-06-03,2024-06-05,2,2,Delivered
S01333,O01333,Busan,New York,Evergreen,Sea,2024-01-28,2024-03-03,32,35,Delayed
S01334,O01334,Shanghai,New York,CMA CGM,Sea,2024-05-16,2024-06-20,30,35,Delayed
S01335,O01335,Busan,New York,MSC,Sea,2024-06-07,2024-07-10,32,33,Delayed
S01336,O01336,Busan,Sydney,Hapag-Lloyd,Sea,2024-01-17,2024-02-05,16,19,Delayed
S01337,O01337,Hamburg,Antwerp,COSCO,Sea,2024-04-20,2024-04-29,5,9,Delayed
S01338,O01338,Hamburg,Vancouver,COSCO,Sea,2024-06-26,2024-07-19,22,23,Delayed
S01339,O01339,Singapore,Antwerp,Maersk,Sea,2024-07-08,2024-08-14,32,37,Delayed
S01340,O01340,Shanghai,Sydney,Hapag-Lloyd,Sea,2024-03-24,2024-04-19,20,26,Delayed
S01341,O01341,Busan,Sydney,MSC,Sea,2024-03-19,2024-04-08,16,20,Delayed
S01342,O01342,Shanghai,New York,Evergreen,Sea,2024-06-01,2024-07-05,30,34,Delayed
S01343,O01343,Singapore,Antwerp,Evergreen,Sea,2024-01-16,2024-02-16,32,31,Delivered
S01344,O01344,Singapore,Felixstowe,COSCO,Sea,2024-07-12,2024-08-13,34,32,Delivered
S01345,O01345,Singapore,Antwerp,MSC,Sea,2024-04-25,2024-06-02,32,38,Delayed
S01346,O01346,Shanghai,Sydney,COSCO,Sea,2024-04-24,2024-05-15,20,21,Delayed
S01347,O01347,Hamburg,Vancouver,CMA CGM,Sea,2024-05-25,2024-06-18,22,24,Delayed
S01348,O01348,Tokyo,Sydney,FedEx Logistics,Air,2024-01-23,2024-01-24,2,1,Delivered
S01349,O01349,Nhava Sheva,Houston,Hapag-Lloyd,Sea,2024-02-02,2024-03-05,30,32,Delayed
S01350,O01350,Nhava Sheva,Houston,Maersk,Sea,2024-01-01,2024-02-06,30,36,Delayed
S01351,O01351,Frankfurt,New York,DHL Aviation,Air,2024-03-13,2024-03-14,2,1,Delivered
S01352,O01352,Hamburg,Antwerp,COSCO,Sea,2024-04-10,2024-04-18,5,8,Delayed
S01353,O01353,Busan,New York,Hapag-Lloyd,Sea,2024-04-21,2024-05-29,32,38,Delayed
S01354,O01354,Singapore,Felixstowe,Hapag-Lloyd,Sea,2024-02-05,2024-03-11,34,35,Delayed
S01355,O01355,Hamburg,Vancouver,Hapag-Lloyd,Sea,2024-02-09,2024-03-04,22,24,Delayed
S01356,O01356,Hong Kong,Los Angeles,DHL Aviation,Air,2024-02-04,2024-02-05,2,1,Delivered
S01357,O01357,Shanghai,Los Angeles,MSC,Sea,2024-07-03,2024-07-26,18,23,Delayed
S01358,O01358,Singapore,Felixstowe,Maersk,Sea,2024-02-05,2024-03-14,34,38,Delayed
S01359,O01359,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-06-08,2024-06-10,2,2,Delivered
S01360,O01360,Busan,New York,COSCO,Sea,2024-04-25,2024-05-31,32,36,Delayed
S01361,O01361,Singapore,Felixstowe,Hapag-Lloyd,Sea,2024-06-03,2024-07-05,34,32,Delivered
S01362,O01362,Hamburg,Antwerp,MSC,Sea,2024-07-01,2024-07-12,5,11,Delayed
S01363,O01363,Nhava Sheva,Houston,COSCO,Sea,2024-04-03,2024-05-01,30,28,Delivered
S01364,O01364,Dubai,London,FedEx Logistics,Air,2024-06-29,2024-07-04,2,5,Delayed
S01365,O01365,Busan,Sydney,Evergreen,Sea,2024-01-21,2024-02-06,16,16,Delivered
S01366,O01366,Nhava Sheva,Houston,CMA CGM,Sea,2024-04-29,2024-06-04,30,36,Delayed
S01367,O01367,Shanghai,Sydney,Maersk,Sea,2024-03-03,2024-03-28,20,25,Delayed
S01368,O01368,Singapore,Antwerp,Evergreen,Sea,2024-01-20,2024-02-27,32,38,Delayed
S01369,O01369,Hamburg,Tokyo,COSCO,Sea,2024-01-14,2024-02-14,28,31,Delayed
S01370,O01370,Shanghai,Los Angeles,Hapag-Lloyd,Sea,2024-04-26,2024-05-20,18,24,Delayed
S01371,O01371,Dubai,London,FedEx Logistics,Air,2024-04-17,2024-04-22,2,5,Delayed
S01372,O01372,Frankfurt,New York,FedEx Logistics,Air,2024-02-12,2024-02-13,2,1,Delivered
S01373,O01373,Shanghai,Sydney,Evergreen,Sea,2024-03-18,2024-04-09,20,22,Delayed
S01374,O01374,Busan,Sydney,COSCO,Sea,2024-02-13,2024-02-27,16,14,Delivered
S01375,O01375,Hamburg,Tokyo,Evergreen,Sea,2024-06-08,2024-07-04,28,26,Delivered
S01376,O01376,Shanghai,New York,MSC,Sea,2024-05-09,2024-06-07,30,29,Delivered
S01377,O01377,Frankfurt,New York,FedEx Logistics,Air,2024-02-03,2024-02-07,2,4,Delayed
S01378,O01378,Hamburg,Tokyo,Maersk,Sea,2024-07-08,2024-08-04,28,27,Delivered
S01379,O01379,Shanghai,Sydney,Evergreen,Sea,2024-02-08,2024-03-04,20,25,Delayed
S01380,O01380,Singapore,Felixstowe,CMA CGM,Sea,2024-07-19,2024-08-23,34,35,Delayed
S01381,O01381,Nhava Sheva,Houston,Maersk,Sea,2024-03-28,2024-04-26,30,29,Delivered
S01382,O01382,Dubai,London,DHL Aviation,Air,2024-05-06,2024-05-12,2,6,Delayed
S01383,O01383,Singapore,Los Angeles,Evergreen,Sea,2024-04-22,2024-05-12,20,20,Delivered
S01384,O01384,Hamburg,Antwerp,CMA CGM,Sea,2024-01-14,2024-01-21,5,7,Delayed
S01385,O01385,Shanghai,New York,Maersk,Sea,2024-02-12,2024-03-18,30,35,Delayed
S01386,O01386,Hamburg,Tokyo,Hapag-Lloyd,Sea,2024-07-10,2024-08-13,28,34,Delayed
S01387,O01387,Singapore,Antwerp,Evergreen,Sea,2024-04-09,2024-05-16,32,37,Delayed
S01388,O01388,Nhava Sheva,Houston,Hapag-Lloyd,Sea,2024-01-04,2024-02-05,30,32,Delayed
S01389,O01389,Tokyo,Sydney,FedEx Logistics,Air,2024-06-22,2024-06-27,2,5,Delayed
S01390,O01390,Hong Kong,Los Angeles,DHL Aviation,Air,2024-01-25,2024-02-02,2,8,Delayed
S01391,O01391,Busan,New York,COSCO,Sea,2024-06-15,2024-07-19,32,34,Delayed
S01392,O01392,Hamburg,Tokyo,Maersk,Sea,2024-03-06,2024-04-07,28,32,Delayed
S01393,O01393,Singapore,Antwerp,Evergreen,Sea,2024-03-02,2024-04-04,32,33,Delayed
S01394,O01394,Singapore,Antwerp,Evergreen,Sea,2024-02-16,2024-03-22,32,35,Delayed
S01395,O01395,Singapore,Antwerp,Maersk,Sea,2024-01-18,2024-02-17,32,30,Delivered
S01396,O01396,Nhava Sheva,Houston,Maersk,Sea,2024-06-24,2024-07-29,30,35,Delayed
S01397,O01397,Hamburg,Antwerp,CMA CGM,Sea,2024-03-05,2024-03-11,5,6,Delayed
S01398,O01398,Shanghai,Sydney,Maersk,Sea,2024-01-15,2024-02-05,20,21,Delayed
S01399,O01399,Hong Kong,Los Angeles,DHL Aviation,Air,2024-06-30,2024-07-01,2,1,Delivered
S01400,O01400,Shanghai,Sydney,MSC,Sea,2024-04-06,2024-04-26,20,20,Delivered
S01401,O01401,Hong Kong,Los Angeles,DHL Aviation,Air,2024-03-05,2024-03-09,2,4,Delayed
S01402,O01402,Shanghai,New York,Evergreen,Sea,2024-04-26,2024-05-28,30,32,Delayed
S01403,O01403,Hamburg,Antwerp,Evergreen,Sea,2024-07-16,2024-07-24,5,8,Delayed
S01404,O01404,Shanghai,New York,CMA CGM,Sea,2024-07-17,2024-08-14,30,28,Delivered
S01405,O01405,Hamburg,Vancouver,Maersk,Sea,2024-03-07,2024-03-31,22,24,Delayed
S01406,O01406,Shanghai,New York,Hapag-Lloyd,Sea,2024-02-21,2024-03-26,30,34,Delayed
S01407,O01407,Busan,Sydney,Maersk,Sea,2024-02-06,2024-02-28,16,22,Delayed
S01408,O01408,Singapore,Los Angeles,COSCO,Sea,2024-06-13,2024-07-02,20,19,Delivered
S01409,O01409,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-01-27,2024-01-28,2,1,Delivered
S01410,O01410,Shanghai,Sydney,Evergreen,Sea,2024-03-05,2024-03-30,20,25,Delayed
S01411,O01411,Busan,Sydney,MSC,Sea,2024-06-16,2024-06-30,16,14,Delivered
S01412,O01412,Hong Kong,Los Angeles,FedEx Logistics,Air,2024-03-09,2024-03-11,2,2,Delivered
S01413,O01413,Busan,New York,COSCO,Sea,2024-01-01,2024-02-08,32,38,Delayed
